"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000931","서울송파초등학교","02","공립","N","","6","163","27.2","6","140","23.3","6","151","25.2","7","158","22.6","6","153","25.5","7","184","26.3","0","0","0","0","0","0","38","949","25","47","20.2"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000932","서울신가초등학교","02","공립","N","","6","149","24.8","6","137","22.8","5","126","25.2","7","173","24.7","7","168","24","7","163","23.3","0","0","0","0","0","0","38","916","24.1","46","19.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000933","서울신명초등학교","02","공립","N","","5","138","27.6","5","113","22.6","5","117","23.4","5","132","26.4","6","141","23.5","6","134","22.3","1","2","2","0","0","0","33","777","23.5","40","19.4"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000934","서울신암초등학교","02","공립","N","","6","160","26.7","6","144","24","6","150","25","6","138","23","6","159","26.5","6","131","21.8","2","9","4.5","0","0","0","38","891","23.4","46","19.4"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000935","서울신천초등학교","02","공립","N","","4","95","23.8","5","89","17.8","4","91","22.8","5","85","17","4","108","27","5","107","21.4","2","17","8.5","0","0","0","29","592","20.4","36","16.4"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000936","서울아주초등학교","02","공립","N","","4","92","23","4","100","25","4","97","24.3","5","107","21.4","5","121","24.2","6","126","21","0","0","0","0","0","0","28","643","23","36","17.9"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000937","서울영풍초등학교","02","공립","N","","6","152","25.3","5","126","25.2","5","122","24.4","6","162","27","6","147","24.5","6","141","23.5","2","8","4","0","0","0","36","858","23.8","42","20.4"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000938","서울오금초등학교","02","공립","N","","4","92","23","5","115","23","4","102","25.5","4","92","23","5","134","26.8","5","132","26.4","0","0","0","0","0","0","27","667","24.7","36","18.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000939","서울오륜초등학교","02","공립","N","","4","104","26","4","102","25.5","3","81","27","3","85","28.3","5","116","23.2","4","97","24.3","0","0","0","0","0","0","23","585","25.4","30","19.5"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000940","서울위례초등학교","02","공립","N","","3","72","24","4","87","21.8","3","76","25.3","4","91","22.8","5","112","22.4","5","124","24.8","0","0","0","0","0","0","24","562","23.4","31","18.1"
