통계표,지역별 경상수지,지역별 경상수지 지역코드,단위,변환,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"2.5.1.4. 지역별 경상수지","    여행수지","  기타","백만달러","원자료","9.8","-319.9","-155.7","-242.2","-1,636.4","-2,023.2","-2,019.8","-1,767","-1,325.4","-1,168.7","-1,883.3","-1,720","-1,790.4","-2,052.1","-2,496.5","-2,678.2","-2,375","-2,674.5","-2,946.3","-2,479.9","-2,195.5","-1,971.2","-1,124.4","-2,251.4"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","총계","백만달러","원자료","-77.8","-313.8","-533.7","-356.3","-322.5","-564","-580.3","-585.4","-277.4","-394.7","-367.4","-167.8","-304.4","-274.6","60","-97","-283.3","-106","106.9","-255.9","-243.8","-361.7","-21.9","-219.3"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  미국","백만달러","원자료","-14.6","-39.6","-73.3","-62.7","-145.6","-329","-327.9","-213.7","0.5","432.7","-518.8","11.4","-17","-40.3","38.5","-27.7","-61.8","-75.8","15.5","-14.6","-16.9","-31.2","28.8","157.6"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  중국","백만달러","원자료","14.1","7","5.9","10.6","20.5","11.7","16.4","18.4","5.8","10.1","77.7","9.2","25.2","6.6","9.9","19.5","7.9","28.4","28.5","0.8","13.6","28.1","18","29.7"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  일본","백만달러","원자료","-8.4","-9.4","-13.9","-21.1","27.5","-12.1","-18.1","-9.7","-23.9","-37.3","39.1","-12.8","-10.6","-17.7","-10.4","-20","-29.7","-6.5","1.5","-3.8","-6.4","2.2","-3.2","-3.2"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  EU","백만달러","원자료","-47.7","-176.2","-295.2","-169.3","-65.2","-32.5","128.1","-179.2","-128.8","-392","79.1","-70.8","-94.5","-35.5","79.1","32.2","-12.3","136.1","54.3","36.4","-6.9","54.8","12.6","-24.5"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  동남아","백만달러","원자료","-22.9","-70.2","-116.6","-32.3","-153.3","-196.7","-143.9","-245.3","-109.8","-291.1","-120.3","-122.4","-145.1","-146.4","-89","-112.4","-182.8","-305.5","-56.8","-258.3","-208.1","-398.7","-36.5","-287.2"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  중동","백만달러","원자료","-0.9","-10.3","-2.5","-0.6","2.5","-3.6","5.8","4.1","-7.4","28.7","-87.9","-9.4","2","-12.2","-2.3","-0.1","-5.9","99.5","9.2","-0.2","-31.6","5.5","-7","13.5"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  중남미","백만달러","원자료","-8.1","-23.5","-43.9","-26.1","-5.4","-13","4.4","-4.1","-3.6","17.3","31.1","18.7","6.8","4","13.3","6.1","10.5","7.9","4.4","2.8","0.2","5.2","1","1.3"
"2.5.1.4. 지역별 경상수지","    보험서비스수지","  기타","백만달러","원자료","10.7","8.4","5.8","-54.8","-3.5","11.2","-245.1","44.1","-10.2","-163.1","132.6","8.3","-71.2","-33.1","20.9","5.4","-9.2","9.9","50.3","-19","12.3","-27.6","-35.6","-106.5"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","총계","백만달러","원자료","-2,598.8","-2,194.7","-2,246.3","-2,321","-2,681.3","-2,684.4","-2,661.5","-3,507.6","-3,389.1","-4,100.2","-5,994.5","-3,016","-4,713.7","-5,481.5","-5,004.4","-3,502.4","-2,493.4","-2,414.8","-2,063.2","-2,157.4","-2,993.2","-3,045.5","-3,742.1","-3,295.6"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  미국","백만달러","원자료","-1,921.5","-1,268.8","-1,437.5","-1,562.7","-1,806.1","-2,113.9","-2,400.9","-2,580.5","-3,043.8","-3,301.4","-4,983.2","-2,992.4","-4,865.9","-5,581.8","-5,346.1","-5,833.3","-4,794.8","-4,639.8","-4,789.9","-3,845.3","-3,895.9","-3,861","-2,561.6","-3,426.7"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  중국","백만달러","원자료","271.9","61.9","77.4","269.3","423.6","503.6","767.3","479.6","1,068.3","909.8","1,067.5","1,269.4","1,224.8","1,522.5","2,134.1","1,774.6","1,760.4","1,899","2,515.9","1,603.8","1,753.5","1,202.1","-150","1,257.8"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  일본","백만달러","원자료","-565.6","-357.8","-364.4","-376.8","-362.7","-415.1","-456.2","-540.3","-657.5","-993.9","-935.6","-822.8","-563.9","-505.8","-583.7","-472.6","-475.8","-596.3","-713","-847","-395.4","-499.6","-453.2","-346.4"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  EU","백만달러","원자료","-401.3","-508.6","-447.5","-631","-941.1","-796.2","-759.9","-945.5","-909","-976.1","-1,509.2","-990.9","-1,080.9","-1,444.3","-2,499.9","-1,371.6","-1,458.9","-1,903.8","-2,284.2","-2,353.9","-656.8","-986.6","-488.4","4.2"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  동남아","백만달러","원자료","115.9","-17.9","5.6","67.3","107.5","266.9","255.3","245.2","216.8","225.3","305.8","296.7","308","260","965.1","1,726.5","2,018.1","2,431.8","2,688.8","2,430.4","1,949.3","2,405.6","2,182.2","1,831.9"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  중동","백만달러","원자료","-16","-6.5","-11.4","-4.2","-19.4","-27.7","-5.4","-3","-8.6","-28.5","-54.4","-23.1","-20","-10.3","20.1","42.3","35","22.4","25","30.6","-8.2","2.8","0","17.2"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  중남미","백만달러","원자료","10.9","0.7","-1","0","-1.2","4.7","14.3","6","2.1","-14.1","-0.8","30.5","95.5","83.4","97","94.2","92","58.7","76.6","371.1","287","370.9","53","349"
"2.5.1.4. 지역별 경상수지","    지식재산권사용료수지","  기타","백만달러","원자료","-93.1","-97.7","-67.5","-82.9","-81.9","-106.7","-76","-169.1","-57.4","78.7","115.4","216.6","188.7","194.8","209","537.5","330.6","313.2","417.6","452.9","-2,026.7","-1,679.7","-2,324.1","-2,982.6"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","총계","백만달러","원자료","-65.4","-146","-68","-97.8","-124.7","-115.2","-517.7","-374.7","-439.5","-444.1","-410.6","-216","1.4","325.3","967.1","702.5","990.5","1,125.6","1,556.9","2,461.3","2,041.7","2,841.5","1,038.5","3,121.4"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  미국","백만달러","원자료","-10.2","-38","-10.1","-25.9","-62.4","-39.4","-71.8","25.9","-101.4","-130.5","-18.4","-68.8","-73.6","18.7","131.7","-154.7","-317.3","4.1","145.7","42.2","-269.2","1,762","695.8","1,097.4"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  중국","백만달러","원자료","-39.1","-37.6","-14","-11.2","-13.1","-15.6","-63","-68.7","-233.2","6","-61.3","9.1","37.9","504.4","271.6","194.6","183.1","144","234.5","287.6","826","1,226.8","1,084.7","1,172.2"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  일본","백만달러","원자료","0.2","-10.7","-12.4","-21.7","-9.8","-4.8","-75.4","-49.5","-10","-38.9","4.1","24.2","135","160.4","313","354.9","135.3","56.1","1.2","43.3","-7","31.4","-27.3","-1.3"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  EU","백만달러","원자료","-10.2","-29.6","-19.3","-19.6","-7.8","-39.3","-177","-144.6","-92.7","-227.3","-191","-160.3","-138.6","-410.8","-138.4","-296.7","416.2","616.8","454.2","1,308.7","-201.4","-1,140.4","-776.2","-146.5"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  동남아","백만달러","원자료","-3.4","-15.1","-9.6","-16.1","-28.6","-17.5","-89.2","-82.2","29.1","8.5","-25.1","-15.5","28.3","-47","351.3","576.6","505.8","225.8","582.5","634.8","-11","-728.6","-1,058","345.3"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  중동","백만달러","원자료","-0.7","0.3","0","-0.3","-0.8","-3.5","-15.1","-11.3","1.7","-5.8","6.6","11","4.1","27.8","26.8","9.1","50.6","61.4","83.1","106.1","57.3","79","21.6","28.2"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  중남미","백만달러","원자료","0.5","-3.4","-0.5","0.1","-0.6","-1.4","-3.8","1.1","2.2","-4.5","-5.8","16","20.6","31","16.7","18.4","19","11.7","21.6","21.1","30.2","51.9","-1.3","29.2"
"2.5.1.4. 지역별 경상수지","    통신,컴퓨터,정보서비스수지","  기타","백만달러","원자료","-2.5","-11.9","-2.1","-3.1","-1.6","6.3","-22.4","-45.4","-35.2","-51.6","-119.7","-31.7","-12.3","40.8","-5.6","0.3","-2.2","5.7","34.1","17.5","1,616.8","1,559.4","1,099.2","596.9"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","총계","백만달러","원자료","-2,234.2","-2,023","-2,812.8","-3,304.8","-3,137.1","-3,596.9","-3,943.2","-3,624.5","-8,842.8","-10,694.6","-11,811.2","-11,806.8","-12,412.4","-10,072.2","-9,144.8","-9,288.3","-7,721.2","-12,213.5","-12,214.5","-12,390.8","-9,744","-9,572.5","-7,028.7","-9,223"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","  미국","백만달러","원자료","-361.4","-626.7","-759.8","-866","-635.6","-149","-1,599.7","-1,354","-2,007.6","-1,978.1","-2,754.1","-3,536.8","-2,751.6","-1,191.7","-1,124.4","-2,288.7","-1,897.1","-4,239.5","-3,865","-3,780.9","-1,898.8","-2,303.7","-1,579.4","-3,788.2"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","  중국","백만달러","원자료","-509.7","-590","-46.8","-67.2","-104","-289.8","-100.6","535.8","-373.3","-966.3","-1,264.4","-1,313.5","-1,104.4","-17","-615.6","-1,384.6","-1,072.1","-1,204","-992.7","-662.8","-1,494.7","-1,612","-1,720.5","-1,615"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","  일본","백만달러","원자료","353","583.2","13.2","15.7","81.5","98.4","237.9","-98.7","22.5","-323.6","-526.3","-390.7","-55.7","-869.6","429.3","143","406.8","-233.8","-9.2","392.4","-124.3","1,070.7","1,285.8","907.4"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","  EU","백만달러","원자료","-606.9","-741.9","-1,376.1","-1,544","-1,638.3","-2,538.3","-1,565.8","-2,260.5","-3,319.6","-3,796.2","-4,273.8","-3,610.6","-4,320.9","-4,299","-3,788.3","-3,206.1","-3,161.3","-3,495.6","-3,696.6","-3,236.5","-2,385.1","-2,320.2","-2,533.5","-2,314.6"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","  동남아","백만달러","원자료","-281.3","-109.3","-247.7","-337.2","-238.4","-389.8","-152.7","-44.4","-1,384.8","-1,267.4","-1,118.9","-1,283.2","-2,609.3","-821.2","-712.7","-156.2","-555.3","-700.3","-889.8","-2,037.9","-697.2","-1,573.3","686.2","820.4"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","  중동","백만달러","원자료","-164","-79.5","-55.7","-83.8","-69.2","-59.3","-108.9","-27.4","-412.7","-113","-392.9","-365.7","-372.8","-954.7","-871.6","-557.1","-5.2","-363.8","-840.9","-881.9","-547.7","-578.4","-513.1","-747.4"
"2.5.1.4. 지역별 경상수지","    기타사업서비스수지","  중남미","백만달러","원자료","-146.8","-175","-26.2","-30.6","-35.6","-55.6","-12.9","-29.3","-78.1","-144.4","-94.5","-96.8","-49.3","-77.5","-185.3","-237.1","-180.2","-211.1","-229.2","-237.1","-214.8","-75","174","341"
